"nombre_especie_animal","familia_animal_id"
"Caiman crocodilus","Alligatoridae"
"Crocodylus acutus","Crocodylidae"
"Chelonia mydas","Cheloniidae"
"Eretmochelys imbricata","Cheloniidae"
"Lepidochelys olivacea","Cheloniidae"
"Dermochelys coriacea","Dermochelydae"
"Trachemys emolli","Emydidae"
"Rhinoclemmys pulcherrima","Geoemididae"
"Kinosternon scorpioides","Kinosternidae"
"Staurotypus salvinii","Kinosternidae"
"Abronia montecristoi","Anguidae"
"Celestus bivittatus","Anguidae"
"Mesaspis moreletii","Anguidae"
"Basiliscus vittatus","Corytophanidae"
"Corytophanes percarinatus","Corytophanidae"
"Anolis crassulus","Dactyloidae"
"Anolis macrophallus","Dactyloidae"
"Anolis serranoi","Dactyloidae"
"Anolis sminthus","Dactyloidae"
"Anolis mccraniei","Dactyloidae"
"Anolis wellbornae","Dactyloidae"
"Coleonyx elegans","Eublepharidae"
"Hemidactylus frenatus","Gekkonidae"
"Gymnophthalmus speciosus","Gymnophtalmidae"
"Ctenosaura flavidorsalis","Iguanidae"
"Ctenosaura similis","Iguanidae"
"Iguana iguana","Iguanidae"
"Sceloporus malachiticus","Phrynosomatidae"
"Sceloporus squamosus","Phrynosomatidae"
"Sceloporus variabilis","Phrynosomatidae"
"Phyllodactylus tuberculosus","Phyllodactylidae"
"Marisora brachypoda","Mabuyidae"
"Mesoscincus managuae","Scincidae"
"Gonatodes albogularis","Sphaerodactylidae"
"Sphaerodactylus glaucus","Sphaerodactylidae"
"Holcosus undulatus","Teiidae"
"Aspidoscelis deppii","Teiidae"
"Lepidophyma smithii","Xanthusiidae"
"Boa imperator","Boidae"
"Drymarchon melanurus","Colubridae"
"Drymobius chloroticus","Colubridae"
"Drymobius margaritiferus","Colubridae"
"Lampropeltis abnorma","Colubridae"
"Leptophis mexicanus","Colubridae"
"Leptophis modestus","Colubridae"
"Masticophis mentovarius","Colubridae"
"Mastigodryas dorsalis","Colubridae"
"Mastigodryas melanolomus","Colubridae"
"Oxybelis aeneus","Colubridae"
"Oxybelis fulgidus","Colubridae"
"Scaphiodontophis annulatus","Colubridae"
"Senticolis triaspis","Colubridae"
"Spilotes pullatus","Colubridae"
"Tantilla armillata","Colubridae"
"Tantilla brevicauda","Colubridae"
"Tantilla taeniata","Colubridae"
"Tantilla vermiformis","Colubridae"
"Trimorphodon quadruplex","Colubridae"
"Coniophanes fissidens","Dipsadidae"
"Coniophanes picievittis","Dipsadidae"
"Crisantophis nevermanni","Dipsadidae"
"Conophis lineatus","Dipsadidae"
"Enulius flavitorques","Dipsadidae"
"Geophis fulvoguttatus","Dipsadidae"
"Geophis rhodogaster","Dipsadidae"
"Imantodes gemmistratus","Dipsadidae"
"Leptodeira nigrofasciata","Dipsadidae"
"Leptodeira rhombifera","Dipsadidae"
"Leptodeira septentrionalis","Dipsadidae"
"Leptodrymus pulcherrimus","Dipsadidae"
"Ninia espinali","Dipsadidae"
"Ninia sebae","Dipsadidae"
"Pliocercus elapoides","Dipsadidae"
"Rhadinella godmani","Dipsadidae"
"Rhadinella kinkelini","Dipsadidae"
"Rhadinella montecristi","Dipsadidae"
"Rhadinella pilonaorum","Dipsadidae"
"Sibon anthracops","Dipsadidae"
"Sibon carri","Dipsadidae"
"Sibon dimidiatus","Dipsadidae"
"Sibon nebulatus","Dipsadidae"
"Scolecophis atrocinctus","Dipsadidae"
"Stenorrhina freminvillie","Dipsadidae"
"Tropidodipsas fischeri","Dipsadidae"
"Tropidodipsas sartorii","Dipsadidae"
"Thamnophis fulvus","Natricidae"
"Thamnophis proximus","Natricidae"
"Hydrophis platurus","Elapidae"
"Laticauda colubrina","Elapidae"
"Micrurus nigrocinctus","Elapidae"
"Epictia phenops","Leptotyphlopidae"
"Loxocemus bicolor","Loxocemidae"
"Indotyphlops braminus","Typhlopidae"
"Agkistrodon bilineatus","Viperidae"
"Atropoides mexicanus","Viperidae"
"Cerrophidion wilsoni","Viperidae"
"Crotalus simus","Viperidae"
"Porthidium ophryomegas","Viperidae"
