"nombre_familia_animal","grupo_animal_id"
"Alligatoridae","Crocodylia"
"Crocodylidae","Crocodylia"
"Cheloniidae","Testudines"
"Dermochelydae","Testudines"
"Emydidae","Testudines"
"Geoemididae","Testudines"
"Kinosternidae","Testudines"
"Anguidae","Squamata"
"Corytophanidae","Squamata"
"Dactyloidae","Squamata"
"Eublepharidae","Squamata"
"Gekkonidae","Squamata"
"Gymnophtalmidae","Squamata"
"Iguanidae","Squamata"
"Phrynosomatidae","Squamata"
"Phyllodactylidae","Squamata"
"Mabuyidae","Squamata"
"Scincidae","Squamata"
"Sphaerodactylidae","Squamata"
"Teiidae","Squamata"
"Xanthusiidae","Squamata"
"Boidae","Squamata"
"Dipsadidae","Squamata"
"Natricidae","Squamata"
"Elapidae","Squamata"
"Leptotyphlopidae","Squamata"
"Loxocemidae","Squamata"
"Typhlopidae","Squamata"
"Viperidae","Squamata"
"Colubridae","Squamata"
